lik,Country
AD1,Pakistan
AD2,Philippines
AD3,Pakistan
AD4,Ghana
AD5,Ghana
AD6,Ghana
AD7,Timor-Leste
AD8,Timor-Leste
AD9,Kyrgyzstan
AD10,Sri Lanka
AD11,Worldwide
AD12,"Central African Republic
Somalia"
AD13,Worldwide
AD14,Worldwide
AD15,Worldwide
AD16,"Latin America and Caribbean
West Africa
South Africa
North Africa and Middle East
Central Africa
Eastern Africa
Southern Africa"
AD17,"North Africa and Middle East
Central Asia
South Asia
East Asia and Pacific
West Africa
South Africa
Central Africa
Eastern Africa
Southern Africa"
AD18,"Pakistan
Tajikistan
Afghanistan
Kyrgyzstan"
AD19,"Kazakhstan
Kyrgyzstan
Tajikistan
Turkmenistan
Uzbekistan"
AD20,"Kazakhstan
Kyrgyzstan
Tajikistan
Turkmenistan
Uzbekistan"
AD21,"Kazakhstan
Kyrgyzstan
Tajikistan
Turkmenistan
Uzbekistan"
AD22,"Kazakhstan
Kyrgyzstan
Tajikistan
Turkmenistan
Uzbekistan
Afghanistan"
AD23,"Kazakhstan
Kyrgyzstan
Tajikistan
Turkmenistan
Uzbekistan
Afghanistan
Mongolia"
AD24,Uzbekistan
AD25,Uzbekistan
AD26,Senegal
AD27,Djibouti
AD28,Dominican Republic
AD29,Maldives
AD30,Myanmar
AD31,Nigeria
AD32,Trinidad and Tobago
AD33,Cuba
AD34,Cote d Ivoire
AD35,Cambodia
AD36,"West Africa
South Africa
North Africa and Middle East
Central Africa
Eastern Africa
Southern Africa
Latin America and Caribbean"
AD37,Cambodia
AD38,Cambodia
AD39,Nepal
AD40,Myanmar
AD41,"East Asia and Pacific
Central Asia
South Asia"
AD42,"East Asia and Pacific
South Asia
Central Asia"
AD43,"East Asia and Pacific
South Asia
Central Asia
Iraq"
AD44,Papua New Guinea
AD45,Myanmar
AD46,Worldwide
AD47,Worldwide
AD48,"Lesotho
Tanzania
Tuvalu
Uganda
Bangladesh
Benin
Cambodia
Ghana
Laos
Mali
Mozambique
Nepal
Niger
Bhutan"
AD49,"Ethiopia
Burkina Faso
Niger
Benin
Indonesia
Philippines
Worldwide"
AD50,"South Asia
East Asia and Pacific
Central Asia
West Africa
Latin America and Caribbean"
AD51,"Barbados
Brazil
Burkina Faso
China
Ghana
Guyana
Mauritius
Mongolia
Kyrgyzstan
Peru
Senegal
South Africa
Uruguay
Afghanistan
Argentina
Belarus
Benin
Dominican Republic
Ecuador
India
Iraq
Kenya
Kiribati
Macedonia (FYROM)
Moldova
Nigeria
Papua New Guinea
Serbia
Gambia
Tanzania
Uganda
Ukraine
Viet Nam"
AD52,Yemen
AD53,Yemen
AD54,Iraq
