CODE,Region
AD1,South Asia
AD2,East Asia and Pacific
AD3,South Asia
AD4,West Africa
AD5,West Africa
AD6,West Africa
AD7,East Asia and Pacific
AD8,East Asia and Pacific
AD9,Central Asia
AD10,South Asia
AD11,Worldwide
AD12,"Central Africa, Eastern Africa"
AD13,Worldwide
AD14,Worldwide
AD15,Worldwide
AD16,"Latin America and Caribbean, West Africa, Southern Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa"
AD17,"North Africa and Middle East, Central Asia, South Asia, East Asia and Pacific, West Africa, Southern Africa, Central Africa, Eastern Africa, Southern Africa"
AD18,"South Asia, Central Asia, Central Asia, Central Asia"
AD19,"Central Asia, Central Asia, Central Asia, Central Asia, Central Asia"
AD20,"Central Asia, Central Asia, Central Asia, Central Asia, Central Asia"
AD21,"Central Asia, Central Asia, Central Asia, Central Asia, Central Asia"
AD22,"Central Asia, Central Asia, Central Asia, Central Asia, Central Asia, Central Asia"
AD23,"Central Asia, Central Asia, Central Asia, Central Asia, Central Asia, Central Asia, East Asia and Pacific"
AD24,Central Asia
AD25,Central Asia
AD26,West Africa
AD27,Eastern Africa
AD28,Latin America and Caribbean
AD29,South Asia
AD30,East Asia and Pacific
AD31,West Africa
AD32,Latin America and Caribbean
AD33,Latin America and Caribbean
AD34,West Africa
AD35,East Asia and Pacific
AD36,"West Africa, Southern Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa, Latin America and Caribbean"
AD37,East Asia and Pacific
AD38,East Asia and Pacific
AD39,South Asia
AD40,East Asia and Pacific
AD41,"East Asia and Pacific, Central Asia, South Asia"
AD42,"East Asia and Pacific, South Asia, Central Asia"
AD43,"East Asia and Pacific, South Asia, Central Asia, North Africa and Middle East"
AD44,East Asia and Pacific
AD45,East Asia and Pacific
AD46,Worldwide
AD47,Worldwide
AD48,"Southern Africa, Eastern Africa, East Asia and Pacific, Central Africa, South Asia, West Africa, East Asia and Pacific, West Africa, East Asia and Pacific, West Africa, Southern Africa, South Asia, West Africa, South Asia"
AD49,"Eastern Africa, West Africa, West Africa, West Africa, East Asia and Pacific, East Asia and Pacific, Worldwide"
AD50,"South Asia, East Asia and Pacific, Central Asia, West Africa, Latin America and Caribbean"
AD51,"Latin America and Caribbean, Latin America and Caribbean, West Africa, East Asia and Pacific, West Africa, Latin America and Caribbean, Southern Africa, East Asia and Pacific, Central Asia, Latin America and Caribbean, West Africa, Southern Africa, Latin America and Caribbean, Central Asia, Latin America and Caribbean, Eastern Europe, West Africa, Latin America and Caribbean, Latin America and Caribbean, South Asia, North Africa and Middle East, Eastern Africa, East Asia and Pacific, Eastern Europe, Eastern Europe, West Africa, East Asia and Pacific, Eastern Europe, West Africa, Eastern Africa, Central Africa, Eastern Europe, East Asia and Pacific"
AD52,North Africa and Middle East
AD53,North Africa and Middle East
AD54,North Africa and Middle East
