CODE,Main Delivery Channel,Main Delivery Channel 2,Main Delivery Channel 3,Main Delivery Channel 4
AD1,United Nations agency fund or commission (UN),,,
AD2,United Nations agency fund or commission (UN),Delegated Cooperation,,
AD3,For profit consultants and consultancy firms,,,
AD4,Public Sector Institutions,Recipient Government,,
AD5,Public Sector Institutions,,,
AD6,Donor government,,,
AD7,Other,,,
AD8,,,,
AD9,Recipient Government,Other,Non-governmental organizations (NGOs) and Civil society,
AD10,United Nations agency fund or commission (UN),,World Bank Group,Public Sector Institutions
AD11,,,,
AD12,United Nations agency fund or commission (UN),fund or commission (UN),International NGO,
AD13,Public Sector Institutions,,,
AD14,Public Sector Institutions,,,
AD15,Public Sector Institutions,,,
AD16,Public Sector Institutions,,,
AD17,United Nations agency fund or commission (UN),,,
AD18,International NGO,,,
AD19,European Bank for Reconstruction and Development (EBRD),European Investment Bank (EIB),European Development Banks,
AD20,World Bank Group,United Nations International Strategy for Disaster Reduction (UNISDR),,
AD21,Council of Europe,,,
AD22,World Bank Group,Other,United Nations Economic Commission for Europe (UNECE),
AD23,Organisation for Economic Co-operation and Development (OECD),International Trade Center (ITC),"University, college or other teaching institution, research institute or think-tank",business intermediaries
AD24,United Nations agency,fund or commission (UN),,
AD25,World Bank Group,,,
AD26,Recipient Government,,,
AD27,United Nations Framework Convention on Climate Change (UNFCCC),United Nations Environment Programme (UNEP),,
AD28,Public Sector Institutions,"University, college or other teaching institution, research institute or think-tank",International Organization,business intermediaries
AD29,Asian Development Bank (ADB),,,
AD30,UN Habitat,,,
AD31,Government,,,
AD32,Public Corporation in recipient country,United Nations Development Programme (UNDP),,
AD33,Public Sector Institutions,"United Nations agency, fund or commission (UN)",,
AD34,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),,,
AD35,United Nations agency fund or commission (UN),,,
AD36,Donor government,,,
AD37,,,,
AD38,Recipient Government,"United Nations agency, fund or commission (UN)",Non-governmental organizations (NGOs) and Civil society,Other
AD39,International Trade Centre (ITC),,,
AD40,Non-governmental organizations (NGOs) and Civil society,,,
AD41,Other,,,
AD42,University college or other teaching institution research institute or think-tank,business intermediaries,,
AD43,European Investment Bank (EIB),European Development Banks,,
AD44,Food and Agriculture Organization of the United Nations (FAO),,,
AD45,United Nations Population Fund (UNFPA),United Nations Office for Project Services (UNOPS),Non-governmental organizations (NGOs) and Civil society,
AD46,,,,
AD47,United Nations Environment Programme (UNEP),Food and Agriculture Organization of the United Nations (FAO),Organisation for Economic Co-operation and Development (OECD),International Tropical Timber Organisation (ITTO)
AD48,United Nations Capital Development Fund (UNCDF),,,
AD49,,,,
AD50,,,,
AD51,United Nations Multi-Partner Trust Fund Office (MPTF),United Nations Environment Programme (UNEP),Other,For profit consultants and consultancy firms
AD52,Delegation agreements with United Nations agencies,Food and Agriculture Organization of the United Nations (FAO),World Food Programme (WFP),International Labour Organization (ILO)
AD53,International NGO,International Organization for Migration (IOM),United Nations Children's Fund (UNICEF),
AD54,United Nations Educational Scientific and Cultural Organization (UNESCO),Food and Agriculture Organization of the United Nations (FAO),,
