CODE,AF - Annexes
AD1,"United Nations Development Programme (UNDP), United Nations Women - ACA/2019/041-481 - Pakistan, United Nations Office on Drugs and Crime (UNODC) - ACA/2019/041-481 - Pakistan, European Union Delegation  - ACA/2019/041-481 - Pakistan, European Union Delegation  - ACA/2019/041-481 - Pakistan"
AD2,"European Union Delegation  - ACA/2019/039-903 - Philippines, United Nations Development Programme (UNDP) - ACA/2019/039-903 - Philippines, World Bank - ACA/2019/039-903 - Philippines, Gesellschaft für Internationale Zusammenarbeit (GIZ) - ACA/2019/039-903 - Philippines, European Union Delegation  - ACA/2019/039-903 - Philippines, European Union Delegation  - ACA/2019/039-903 - Philippines, European Union Delegation  - ACA/2019/039-903 - Philippines"
AD3,"European Union Delegation  - ACA/2019/041-482 - Pakistan, European Union Delegation  - ACA/2019/041-482 - Pakistan, European Union Delegation  - ACA/2019/041-482 - Pakistan, European Union Delegation  - ACA/2019/041-482 - Pakistan"
AD4,"European Union Delegation  - GH/FED/041-293 - Ghana, Government of Ghana - GH/FED/041-293 - Ghana, European Union Delegation  - GH/FED/041-293 - Ghana, European Union Delegation  - GH/FED/041-293 - Ghana, European Union Delegation  - GH/FED/041-293 - Ghana"
AD5,"European Union Delegation  - GH/FED/041-292 - Ghana, European Union Delegation  - GH/FED/041-292 - Ghana, European Union Delegation  - GH/FED/041-292 - Ghana, European Union Delegation  - GH/FED/041-292 - Ghana"
AD6,Financial Institution - GH/FED/041-294 - Ghana
AD7,"European Union Delegation  - FED/2018/041-194 - Timor-Leste, European Union Delegation  - FED/2018/041-194 - Timor-Leste, European Union Delegation  - FED/2018/041-194 - Timor-Leste"
AD8,"European Union Delegation  - FED/2018/39984 - Timor-Leste, United Nations Children's Fund (UNICEF) - FED/2018/39984 - Timor-Leste, European Union Delegation  - FED/2018/39984 - Timor-Leste"
AD9,"European Union Delegation  - ""ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"", ""European Union Delegation  - """"ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"""""", ""European Union Delegation  - """"ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"""""", ""European Union Delegation  - """"ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"""""", ""European Union Delegation  - """"ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"""""", ""European Union Delegation  - """"ACA/2018/039-937, ACA/2019/041-532 - Kyrgyzstan"""""""
AD10,"World Bank - ACA/2018/040-699 - Sri Lanka, United Nations Development Programme (UNDP) - ACA/2018/040-699 - Sri Lanka, British Council - ACA/2018/040-699 - Sri Lanka, European Union Delegation  - ACA/2018/040-699 - Sri Lanka, European Union Delegation  - ACA/2018/040-699 - Sri Lanka"
AD11,"European Union Delegation  - IFS/2018/040-966 - Worldwide, European Union Delegation  - IFS/2018/040-966 - Worldwide"
AD12,"European Union Delegation  - ""2018/040-995 - Central African Republic, Somalia"", ""United Nations Office for Project Services (UNOPS) - """"2018/040-995 - Central African Republic, Somalia"""""""
AD13,"Joint Research Centre (JRC) - IFS/2018/040-966 - Worldwide, Joint Research Centre (JRC) - IFS/2018/040-966 - Worldwide, Joint Research Centre (JRC) - IFS/2018/040-966 - Worldwide, United Nations Interregional Crime and Justice Research Institute (UNICRI) - IFS/2018/040-966 - Worldwide, ""International Science and Technology Centre (ISTC), Science and Technology Centre of Ukraine (STCU) - IFS/2018/040-966 - Worldwide"""
AD14,"World Health Organization - IFS/2018/040-966 - Worldwide, European Union Delegation  - IFS/2018/040-966 - Worldwide"
AD15,"European Union Delegation  - IFS/2018/040-966 - Worldwide, European Union Delegation  - IFS/2018/040-966 - Worldwide"
