CODE,Management Organization
AF1,"United Nations Development Programme (UNDP), United Nations Women"
AF2,United Nations Office on Drugs and Crime (UNODC)
AF3,European Union Delegation
AF4,European Union Delegation
AF5,European Union Delegation
AF6,United Nations Development Programme (UNDP)
AF7,World Bank
AF8,Gesellschaft für Internationale Zusammenarbeit (GIZ)
AF9,European Union Delegation
AF10,European Union Delegation
AF11,European Union Delegation
AF12,European Union Delegation
AF13,European Union Delegation
AF14,European Union Delegation
AF15,European Union Delegation
AF16,European Union Delegation
AF17,Government of Ghana
AF18,European Union Delegation
AF19,European Union Delegation
AF20,European Union Delegation
AF21,European Union Delegation
AF22,European Union Delegation
AF23,European Union Delegation
AF24,European Union Delegation
AF25,Financial Institution
AF26,European Union Delegation
AF27,European Union Delegation
AF28,European Union Delegation
AF29,European Union Delegation
AF30,United Nations Children's Fund (UNICEF)
AF31,European Union Delegation
AF32,European Union Delegation
AF33,European Union Delegation
AF34,European Union Delegation
AF35,European Union Delegation
AF36,European Union Delegation
AF37,European Union Delegation
AF38,World Bank
AF39,United Nations Development Programme (UNDP)
AF40,British Council
AF41,European Union Delegation
AF42,European Union Delegation
AF43,European Union Delegation
AF44,European Union Delegation
AF45,European Union Delegation
AF46,United Nations Office for Project Services (UNOPS)
AF47,World Health Organization
AF48,European Union Delegation
AF49,Government of Djibouti
AF50,Agence Francaise de Developpement (AFD)
AF51,European Union Delegation
AF52,European Union Delegation
AF53,European Union Delegation
AF54,Gesellschaft für Internationale Zusammenarbeit (GIZ)
AF55,European Union Delegation
AF56,European Union Delegation
AF57,Asian Development Bank (ADB)
AF58,European Union Delegation
AF59,European Union Delegation
AF60,"United Nations Human Settlements Programme (UN-Habitat), United Nations Environment Programme (UNEP)"
AF61,European Union Delegation
AF62,European Union Delegation
AF63,European Union Delegation
AF64,European Union Delegation
AF65,United Nations Development Programme (UNDP)
AF66,European Union Delegation
AF67,United Nations Development Programme (UNDP)
AF68,Gesellschaft für Internationale Zusammenarbeit (GIZ)
AF69,United Nations Development Programme (UNDP)
AF70,European Union Delegation
AF71,European Union Delegation
AF72,Joint Research Centre (JRC)
AF73,Joint Research Centre (JRC)
AF74,Joint Research Centre (JRC)
AF75,United Nations Interregional Crime and Justice Research Institute (UNICRI)
AF76,"International Science and Technology Centre (ISTC), Science and Technology Centre of Ukraine (STCU)"
AF77,European Union Delegation
AF78,European Union Delegation
AF79,United Nations Office of Drugs and Crime (UNODC)
AF80,World Customs Organization (WCO)
AF81,European Union Delegation
AF82,European Union Delegation
AF83,European Union Delegation
AF84,European Aviation Safety Agency (EASA)
AF85,European Union Delegation
AF86,
AF87,European Union Delegation
