CODE,Procurement Date
AF1,NA
AF2,NA
AF3,2020 - Q2
AF4,Undetermined
AF5,First Year - Q4
AF6,Undetermined
AF7,Undetermined
AF8,Undetermined
AF9,"2020, 2022"
AF10,2020
AF11,NA
AF12,NA
AF13,NA
AF14,2020 - Q2
AF15,NA
AF16,NA
AF17,NA
AF18,NA
AF19,NA
AF20,NA
AF21,NA
AF22,First semester - 2019
AF23,NA
AF24,NA
AF25,NA
AF26,2019 - Q1
AF27,NA
AF28,"2020 - Q2, 2022 - Q4"
AF29,NA
AF30,NA
AF31,"2020 - Q2, 2022 - Q2, 2023 - Q2"
AF32,NA
AF33,Second semester - 2019
AF34,"2019 - Q2, 2022 - Q2, 2019 - Q4"
AF35,NA
AF36,NA
AF37,NA
AF38,Undetermined
AF39,Undetermined
AF40,Undetermined
AF41,Undetermined
AF42,Undetermined
AF43,Undetermined
AF44,"2018 - Q4, 2019 - Q2"
AF45,Undetermined
AF46,Undetermined
AF47,
AF48,2018 - Q3/Q4
AF49,Undetermined
AF50,Undetermined
AF51,Undetermined
AF52,Undetermined
AF53,NA
AF54,Undetermined
AF55,"2021 - Q4, 2023 - Q4, 2024 - Q2"
AF56,NA
AF57,Undetermined
AF58,"T2 2021, T3 2023"
AF59,T2 2019
AF60,Undetermined
AF61,"T2 2021, T3 2023"
AF62,T2 2019
AF63,"T1 2019, T4 2019"
AF64,2019 - Q1
AF65,Undetermined
AF66,Undetermined
AF67,Undetermined
AF68,Undetermined
AF69,Undetermined
AF70,NA
AF71,NA
AF72,2018 - Q3/Q4
AF73,2019
AF74,2018 - Q3/Q4
AF75,2018 - Q3/Q4
AF76,2018 - Q3/Q4
AF77,NA
AF78,2018 - Q3
AF79,NA
AF80,NA
AF81,2018 - Q3
AF82,2018 - Q3
AF83,2019 - Q1
AF84,Undetermined
AF85,Undetermined
AF86,NA
AF87,NA
AF88,2018 - Q3
AF89,2018 - Q3
AF90,NA
AF91,2019 - Q2
AF92,NA
AF93,NA
AF94,NA
AF95,NA
AF96,2019 - Q1
AF97,NA
AF98,NA
AF99,2019 - Q2
AF100,2019 - Q2
AF101,NA
AF102,NA
AF103,NA
AF104,NA
AF105,NA
AF106,NA
AF107,2019 - Q1
AF108,NA
AF109,NA
AF110,NA
AF111,Undetermined
AF112,NA
AF113,NA
AF114,NA
AF115,NA
AF116,2019 - Q3
AF117,NA
AF118,"2021 - Q2, 2024 - Q1"
AF119,2019 - Q2
AF120,NA
AF121,2019 - Q1
AF122,Undetermined
AF123,"2022 - Q2, 2024 - Q2"
AF124,"2022 - Q2, 2024 - Q2"
AF125,"2020 - Q2, 2022 - Q2"
AF126,First semester - 2019
AF127,NA
AF128,NA
AF129,NA
AF130,NA
AF131,T1 2019
AF132,NA
AF133,NA
AF134,"2018 - Q2, 2019 - Q1, 2019 - Q2"
AF135,NA
AF136,
AF137,T1 2019
AF138,T1 2019
AF139,NA
AF140,Undetermined
AF141,Undetermined
AF142,Undetermined
AF143,Undetermined
AF144,Undetermined
AF145,Undetermined
AF146,Undetermined
AF147,Undetermined
AF148,Undetermined
AF149,Undetermined
AF150,2019
AF151,2019
AF152,NA
AF153,Undetermined
AF154,Undetermined
AF155,2018 - Q4
AF156,NA
AF157,NA
AF158,NA
AF159,Undetermined
AF160,Undetermined
AF161,2018 - Q4
AF162,Undetermined
AF163,Undetermined
AF164,Undetermined
AF165,T1 2019
AF166,2019 - Q1
AF167,NA
AF168,NA
AF169,NA
AF170,NA
AF171,Undetermined
AF172,2019 - Q1
AF173,NA
AF174,NA
AF175,NA
AF176,NA
AF177,2019 - Q3
AF178,Undetermined
AF179,Undetermined
AF180,Undetermined
AF181,Undetermined
AF182,Undetermined
AF183,"2019 - Q3, 2021 - Q3"
AF184,Undetermined
AF185,02/2019
AF186,"2020 - Q4, 2023 - Q3, 2021 - Q1, 2023 - Q4"
AF187,Undetermined
