CODE,Region
AD1,South Asia
AD2,East Asia and Pacific
AD3,South Asia
AD4,West Africa
AD5,West Africa
AD6,West Africa
AD7,East Asia and Pacific
AD8,East Asia and Pacific
AD9,Central Asia
AD10,South Asia
AD11,Worldwide
AD12,Central Africa
AD12,Eastern Africa
AD13,Worldwide
AD14,Worldwide
AD15,Worldwide
AD16,Latin America and Caribbean
AD16,West Africa
AD16,Southern Africa
AD16,North Africa and Middle East
AD16,Central Africa
AD16,Eastern Africa
AD17,North Africa and Middle East
AD17,Central Asia
AD17,South Asia
AD17,East Asia and Pacific
AD17,West Africa
AD17,Southern Africa
AD17,Central Africa
AD17,Eastern Africa
AD18,South Asia
AD18,Central Asia
AD19,Central Asia
AD20,Central Asia
AD21,Central Asia
AD22,Central Asia
AD23,Central Asia
AD23,East Asia and Pacific
AD24,Central Asia
AD25,Central Asia
AD26,West Africa
AD27,Eastern Africa
AD28,Latin America and Caribbean
AD29,South Asia
AD30,East Asia and Pacific
AD31,West Africa
AD32,Latin America and Caribbean
AD33,Latin America and Caribbean
AD34,West Africa
AD35,East Asia and Pacific
AD36,West Africa
AD36,Southern Africa
AD36,North Africa and Middle East
AD36,Central Africa
AD36,Eastern Africa
AD36,Latin America and Caribbean
AD37,East Asia and Pacific
AD38,East Asia and Pacific
AD39,South Asia
AD40,East Asia and Pacific
AD41,East Asia and Pacific
AD41,Central Asia
AD41,South Asia
AD42,East Asia and Pacific
AD42,South Asia
AD42,Central Asia
AD43,East Asia and Pacific
AD43,South Asia
AD43,Central Asia
AD43,North Africa and Middle East
AD44,East Asia and Pacific
AD45,East Asia and Pacific
AD46,Worldwide
AD47,Worldwide
AD48,Southern Africa
AD48,Eastern Africa
AD48,East Asia and Pacific
AD48,Central Africa
AD48,South Asia
AD48,West Africa
AD49,Eastern Africa
AD49,West Africa
AD49,East Asia and Pacific
AD49,Worldwide
AD50,South Asia
AD50,East Asia and Pacific
AD50,Central Asia
AD50,West Africa
AD50,Latin America and Caribbean
AD51,Latin America and Caribbean
AD51,West Africa
AD51,East Asia and Pacific
AD51,Southern Africa
AD51,Central Asia
AD51,Eastern Europe
AD51,South Asia
AD51,North Africa and Middle East
AD51,Eastern Africa
AD51,Central Africa
AD52,North Africa and Middle East
AD53,North Africa and Middle East
AD54,North Africa and Middle East
