CODE,Main Delivery Channel
AD1,United Nations agency fund or commission (UN)
AD2,United Nations agency fund or commission (UN)
AD2,Delegated Cooperation
AD3,For profit consultants and consultancy firms
AD4,Public Sector Institutions
AD4,Recipient Government
AD5,Public Sector Institutions
AD6,Donor government
AD7,Other
AD9,Recipient Government
AD9,Other
AD9,Non-governmental organizations (NGOs) and Civil society
AD10,United Nations agency fund or commission (UN)
AD10,World Bank Group
AD10,Public Sector Institutions
AD12,United Nations agency fund or commission (UN)
AD12,fund or commission (UN)
AD12,International NGO
AD13,Public Sector Institutions
AD14,Public Sector Institutions
AD15,Public Sector Institutions
AD16,Public Sector Institutions
AD17,United Nations agency fund or commission (UN)
AD18,International NGO
AD19,European Bank for Reconstruction and Development (EBRD)
AD19,European Investment Bank (EIB)
AD19,European Development Banks
AD20,World Bank Group
AD20,United Nations International Strategy for Disaster Reduction (UNISDR)
AD21,Council of Europe
AD22,World Bank Group
AD22,Other
AD22,United Nations Economic Commission for Europe (UNECE)
AD23,Organisation for Economic Co-operation and Development (OECD)
AD23,International Trade Center (ITC)
AD23,"University, college or other teaching institution, research institute or think-tank"
AD23,business intermediaries
AD24,United Nations agency
AD24,fund or commission (UN)
AD25,World Bank Group
AD26,Recipient Government
AD27,United Nations Framework Convention on Climate Change (UNFCCC)
AD27,United Nations Environment Programme (UNEP)
AD28,Public Sector Institutions
AD28,"University, college or other teaching institution, research institute or think-tank"
AD28,International Organization
AD28,business intermediaries
AD29,Asian Development Bank (ADB)
AD30,UN Habitat
AD31,Government
AD32,Public Corporation in recipient country
AD32,United Nations Development Programme (UNDP)
AD33,Public Sector Institutions
AD33,"United Nations agency, fund or commission (UN)"
AD34,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)
AD35,United Nations agency fund or commission (UN)
AD36,Donor government
AD38,Recipient Government
AD38,"United Nations agency, fund or commission (UN)"
AD38,Non-governmental organizations (NGOs) and Civil society
AD38,Other
AD39,International Trade Centre (ITC)
AD40,Non-governmental organizations (NGOs) and Civil society
AD41,Other
AD42,University college or other teaching institution research institute or think-tank
AD42,business intermediaries
AD43,European Investment Bank (EIB)
AD43,European Development Banks
AD44,Food and Agriculture Organization of the United Nations (FAO)
AD45,United Nations Population Fund (UNFPA)
AD45,United Nations Office for Project Services (UNOPS)
AD45,Non-governmental organizations (NGOs) and Civil society
AD47,United Nations Environment Programme (UNEP)
AD47,Food and Agriculture Organization of the United Nations (FAO)
AD47,Organisation for Economic Co-operation and Development (OECD)
AD47,International Tropical Timber Organisation (ITTO)
AD48,United Nations Capital Development Fund (UNCDF)
AD51,United Nations Multi-Partner Trust Fund Office (MPTF)
AD51,United Nations Environment Programme (UNEP)
AD51,Other
AD51,For profit consultants and consultancy firms
AD52,Delegation agreements with United Nations agencies
AD52,Food and Agriculture Organization of the United Nations (FAO)
AD52,World Food Programme (WFP)
AD52,International Labour Organization (ILO)
AD53,International NGO
AD53,International Organization for Migration (IOM)
AD53,United Nations Children's Fund (UNICEF)
AD54,United Nations Educational Scientific and Cultural Organization (UNESCO)
AD54,Food and Agriculture Organization of the United Nations (FAO)
